dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_gen_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,city,region,sub_region,year,county,state,zip,latitude,longitude,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID,address
Dover Dairy,4265 Dover AVE Hanford Kings 93230,2150.0,275.0,1115.0,540.0,475.0,505.0,0.0,,78916.2,68.0,680255.83,971794.04,157604.4,408919.74,1075563.75,54708748.0,182419.99,55244.2,294814.37,2131825.17,132354.72,50096.88,141631.92,,182419.99,182419.99,55244.2,294814.37,2131825.17,1.17,1.64,1.79,1.87,,,,,2023AR_Dover Dairy_4265 Dover Avenue_Kings.pdf,30.844256,31.769583680000004,28120052.75476,5060.0,314774.70999999996,105341.07999999999,436446.29000000004,2131825.17,862675.82,212848.59999999998,703734.11,3207388.92,547901.11,107507.51999999999,267287.81999999995,1075563.75,207095041.76668,11248021.101904001,7.364674724218792,7.364674724218792,0.0,25.052759121121998,1.5527591211219978,-2038514352.17,-99.96664095582976,-28.873523565272457,2039194608.0,956403.106267,28120052.75476,,,Hanford,R5,S,2023,Kings,California,93230,36.412356997101,-119.542289022143,generic_r5,,,,,,,,,,,"4265 Dover Ave, Hanford, California, 93230"
Dixie Creek Ranch,3601 Lacey Blvd. Hanford Kings 93230,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,,174409.77,80.0,,,387395.35,,,30206388.0,,,316410.29,2308681.03,,,,,209533.95,209533.95,17192.97,316410.29,2308681.03,1.21,0.31,1.09,6.44,,,,,2023AR_Dixie Creek Ranch_3601 Lacey Boulevard_Kings.pdf,36.28736,37.3759808,88674514.448,6500.0,209533.95,17192.97,316410.29,2308681.03,0.0,387395.35,316410.29,2308681.03,-209533.95,370202.38,0.0,0.0,114343563.19908,35469805.7792,1.2894749287421552,1.2894749287421552,0.0,26.832272307692307,3.332272307692307,,,,4506748456.8,1973530.0,88674514.448,,,Hanford,R5,S,2023,Kings,California,93230,36.328250215189,-119.522088464041,generic_r5,,,,,,,,,,,"3601 Lacey Blvd, Hanford, California, 93230"
Dutra & Dutra Dairy,7480 5th AVE Hanford Kings 93230,470.0,75.0,45.0,40.0,30.0,0.0,0.0,,13721.86,,,176588.47,,88156.6,,1410000.0,8599.42,1053.62,10384.52,,3827.76,1275.92,6161.76,,8599.42,8599.42,1053.62,10384.52,57547.95,0.5,0.23,0.35,0.81,,,,,2023AR_Dutra & Dutra Dairy_7480 5th Avenue_Kings.pdf,,,,660.0,12427.18,2329.54,16546.28,57547.95,8599.42,1053.62,98541.12000000001,0.0,-3827.76,-1275.92,81994.84000000001,-57547.95,5337428.100000001,,,,,23.668331435638834,0.16833143563883368,,,,354572862.40000004,176025.5531544,,,,Hanford,R5,S,2023,Kings,California,93230,36.365065067508,-119.54706943192,generic_r5,,,,,,,,,,,"7480 5th Ave, Hanford, California, 93230"
DOUBLE N DAIRY,12700 EVERETT AVE HANFORDCA Kings 93230,935.0,100.0,0.0,0.0,160.0,0.0,0.0,,25829.38,,,338571.67,55810.63,178446.83,,20950000.0,61716.64,11790.01,78883.44,,8640.0,4240.0,14740.0,415996.2,61716.64,61716.64,11790.01,78883.44,487054.05,1.29,1.04,1.12,2.58,,,,,2023AR_Double N Dairy_12700 Everett Avenue_Kings.pdf,,,,1195.0,70356.64,16030.01,93623.44,903050.25,61716.64,67600.64,257330.27,0.0,-8640.0,51570.63,163706.83,-903050.25,79304339.5,,,,,24.494150925675434,0.9941509256754344,,,,667431179.2,320170.9820192,,,,Hanford,R5,S,2023,Kings,California,93230,36.395305984838,-119.686363041255,generic_r5,,,,,,,,,,,"12700 Everett Ave, Hanford, California, 93230"
Joe B Pacheco Dairy,16025 6 1/2 AVE Hanford Kings 93230,1090.0,110.0,200.0,200.0,0.0,0.0,0.0,,33422.36,,,421926.75,70654.2,208028.93,,32847000.0,168471.57,15546.87,150928.53,,,,,,168471.57,168471.57,15546.87,150928.53,816041.96,1.34,0.76,1.34,1.82,,,,,2023AR_Tony Cox Dairy #4_16025 6 1-2 Avenue_Kings.pdf,,,,1600.0,168471.57,15546.87,150928.53,816041.96,168471.57,86201.06999999999,358957.45999999996,0.0,0.0,70654.2,208028.92999999996,-816041.96,124339362.27000001,,,,,24.824576467071953,1.324576467071953,,,,863633782.4,408776.236592,,,,Hanford,R5,S,2023,Kings,California,93230,36.239780986793,-119.573859041358,generic_r5,,,,,,,,,,,"16025 6 1/2 Ave, Hanford, California, 93230"
FIatIand Farms,8431 15th AVE Hanford Kings 93230,875.0,75.0,250.0,275.0,100.0,0.0,0.0,,27884.83,,,348651.06,57811.44,161821.82,,4644980.0,32346.11,8459.88,31214.01,,,,,,18285.62,18285.62,3208.37,23345.21,118194.99,1.23,1.26,1.5,1.59,,,,,"2023AR_Flatland Farms, LLC_8483 15th Avenue_Kings.pdf",,,,1575.0,18285.62,3208.37,23345.21,118194.99,32346.11,66271.32,193035.83000000002,0.0,14060.490000000002,63062.950000000004,169690.62000000002,-118194.99,17583153.7418,,,,,24.158011076192892,0.6580110761928921,,,,720544007.2,350458.986789,,,,Hanford,R5,S,2023,Kings,California,93230,36.350708015426,-119.726581005252,generic_r5,,,,,,,,,,,"8431 15th Ave, Hanford, California, 93230"
White River Dairy,20784 Laurel AVE Stratford Kings 93266,584.0,74.0,256.0,285.0,104.0,156.0,0.0,,22145.14,,,273993.88,44568.89,111841.39,,8200000.0,81869.71,8357.02,81231.9,,22429.87,4804.43,16317.78,206366.4,81869.71,81869.71,8357.02,81231.9,604733.78,0.9,1.75,1.54,3.79,,,,,2023AR_White River Dairy_20784 Laurel Avenue_Kings.pdf,,,,1459.0,104299.58,13161.45,97549.68,811100.18,81869.71,52925.91,193073.28999999998,0.0,-22429.869999999995,39764.46000000001,95523.60999999999,-811100.18,31040362.0,,,,,24.948495848640473,1.4484958486404729,,,,572230417.5999999,269503.51827188005,,,,Stratford,R5,S,2023,Kings,California,93266,36.189491578282,-119.830649832912,generic_r5,,,,,,,,,,,"20784 Laurel Ave, Stratford, California, 93266"
Bar E Dairy,6970 Corona AVE Kingsburg Kings 93631,969.0,148.0,0.0,0.0,0.0,0.0,0.0,,26361.87,,,343071.97,56942.65,181752.64,,7077000.0,59266.75,8529.81,85572.13,,,,,,59266.75,59266.75,8529.81,85572.13,400093.1,1.32,0.42,1.01,1.9,,,,,2023AR_Bar E Dairy_6740 Corona Avenue_Kings.pdf,,,,1117.0,59266.75,8529.81,85572.13,400093.1,59266.75,65472.46,267324.77,0.0,0.0,56942.65,181752.64,-400093.1,26789346.57,,,,,23.60059982094897,0.10059982094896824,,,,681190720.8,339143.54,,,,Kingsburg,R5,S,2023,Tulare,California,93631,36.44547100479,-119.581971969261,generic_r5,,,,,,,,,,,"6970 Corona Ave, Kingsburg, California, 93631"
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2023AR_Jackson Dairy, LLC_8637 Jackson Avenue_Kings.pdf",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,R5,S,2023,,,,,,generic_r5,,,,,,,,,,,
Garcia & Sons Dairy,15315 17th Avenue Lemoore Kings 93245,40.0,0.0,70.0,40.0,0.0,0.0,0.0,,2166.72,,,24161.1,4094.14,7791.77,,6556520.0,12270.39,1172.74,10713.62,,8776.01,2759.75,14847.46,193288.9,12270.39,12270.39,1172.74,10713.62,158100.1,1.06,0.82,1.35,2.8,,,,,2023AR_Garcia & Sons Dairy_15405 17th Avenue_Kings.pdf,,,,150.0,21046.4,3932.49,25561.08,351389.0,12270.39,5266.88,18505.39,0.0,-8776.010000000002,1334.3900000000003,-7055.690000000002,-351389.0,24819116.3732,,,,,27.001665172472833,3.5016651724728334,,,,55988044.8,24363.665062800002,,,,Lemoore,R5,S,2023,Kings,California,93245,36.250092990813,-119.76231900964,generic_r5,,,,,,,,,,,"15315 17th Ave, Lemoore, California, 93245"
DoubIe N Dairy II,18104 Everett AVE Laton Kings 93242,815.0,100.0,0.0,0.0,125.0,50.0,0.0,,22624.91,,,296775.53,48625.45,154473.65,,15425000.0,61176.09,8859.51,60553.28,,,,,,61176.09,61176.09,8859.51,60553.28,403486.8,1.3,1.26,1.17,2.33,,,,,2023AR_Double N Dairy ll_18104 Everett Avenue_Kings.pdf,,,,1090.0,61176.09,8859.51,60553.28,403486.8,61176.09,57484.96,215026.93,0.0,0.0,48625.45,154473.65,-403486.8,58389949.25,,,,,24.16309841252618,0.6630984125261783,,,,584627674.4,284291.9834585,,,,Laton,R5,S,2023,Fresno,California,93242,36.395573996192,-119.782200967792,generic_r5,,,,,,,,,,,"18104 Everett Ave, Laton, California, 93242"
Antonio Garcia Dairy,6571 Fargo AVE Hanford Kings 93230,505.0,40.0,10.0,25.0,0.0,0.0,0.0,,13864.24,70.0,125991.92,179988.45,30198.51,96712.16,246977.25,16824000.0,52385.68,10801.48,65482.95,407419.59,33197.44,4679.36,6469.12,206348.8,52385.68,52385.68,10801.48,65482.95,407419.59,1.64,1.25,1.08,2.67,,,,,2023AR_Antonio Garcia Dairy_6571 Fargo Avenue_Kings.pdf,31.75144,32.703983199999996,6505639.858059999,580.0,85583.12,15480.84,71952.06999999999,613768.39,178377.6,40999.99,162195.11,654396.8400000001,92794.48000000001,25519.149999999998,90243.04,40628.45000000007,63685737.84,2602255.943224,9.789311924652294,9.789311924652294,0.0,24.85499903021646,1.3549990302164616,-358125969.67999995,-99.96483147798067,-25.60735483534056,358251961.59999996,169360.7207018,6505639.858059999,,,Hanford,R5,S,2023,Kings,California,93230,36.356631003486,-119.574762023787,generic_r5,,,,,,,,,,,"6571 Fargo Ave, Hanford, California, 93230"
