dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,total_manure_excreted_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_reported_n_lbs,unaccounted_for_n_lbs,total_applied_p_lbs,total_reported_p_lbs,unaccounted_for_p_lbs,total_applied_k_lbs,total_reported_k_lbs,unaccounted_for_k_lbs,total_applied_salt_lbs,total_reported_salt_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_to_reported,estimated_annual_milk_production_l,wastewater_estimated,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation
Curtimade Dairy Inc.,18337 Road 24 Tulare Tulare 93274,3300.0,400.0,1100.0,1150.0,1000.0,800.0,,111615.43,55.0,0.0,1409303.56,0.0,599458.95,1645785.0,80683966.0,146901.35,45646.72,403646.26,2175698.07,124813.7,61479.0,213921.6,0.0,146901.35,146901.35,45646.72,403646.26,2175698.07,1.31,1.82,1.73,2.44,2023AR_Curtimade Dairy_18337 Road 24_W Tulare.pdf,24.94756,25.6959868,34702430.1734,7750.0,271715.05,146901.35,0.0,107125.72,45646.72,0.0,617567.86,1003105.21,0.0,2175698.07,3821483.07,0.0,305421891.73606,8.80116724419407,34702430.1734,35743503.078602,8.80116724419407,0.0,0.0,0.0,0.0,1439973.3902439026,0.0,0.0,-100.0
LK Ranches,29007 Road 56 Visalia Tulare 93277,165.0,0.0,0.0,0.0,0.0,0.0,,4232.5,70.0,0.0,0.0,9368.34,31599.02,0.0,25701000.0,68380.37,4996.83,32574.79,247217.4,306289.96,123601.44,459169.62,0.0,68380.37,68380.37,4996.83,32574.79,247217.4,0.73,1.17,0.61,1.04,2023AR_L K Ranches Dairy_29007 Road 56_W Tulare.pdf,31.75144,32.703983199999996,1969597.3882199996,165.0,374670.33,68380.37,0.0,128598.27,14365.17,0.0,491744.41,64173.81,0.0,247217.4,247217.4,0.0,97288822.41000001,49.39528402701815,1969597.3882199996,2028685.3098665997,49.39528402701815,0.0,0.0,0.0,0.0,50097.3,0.0,0.0,-100.0
Mattos Brothers 43,3912 Avenue 232 Tulare Tulare 93274,1.0,4.0,218.0,4.0,1.0,1.0,,2184.17,1.0,0.0,21297.3,3585.77,146.18,700.8,0.0,0.0,0.0,0.0,0.0,59118.37,16725.84,57249.39,58818.72,0.0,0.0,0.0,0.0,0.0,0.68,0.36,0.55,0.23,2023AR_Mattos Brothers Dairy #3_3926 Avenue 232_W Tulare.pdf,0.453592,0.46719976,852.6395620000001,229.0,59118.37,0.0,0.0,16725.84,3585.77,0.0,57249.39,146.18,0.0,58818.72,700.8,0.0,0.0,0.0,852.6395620000001,878.2187488600001,0.0,0.0,0.0,0.0,0.0,26252.021951219518,0.0,0.0,-100.0
Delta View Farms 43,4590 Avenue 304 Visalia Tulare 93291,600.0,300.0,350.0,0.0,0.0,0.0,,21596.49,60.0,0.0,279986.3,45221.83,110963.54,351495.0,17670900.0,29405.16,9593.42,65586.98,397376.08,113115.0,42560.4,142053.0,0.0,29405.16,29405.16,9593.42,65586.98,397376.08,1.16,1.9,1.19,1.58,2023AR_Delta View Farms #3_4590 Avenue 304_W Tulare.pdf,27.215519999999998,28.0319856,9208507.2696,1250.0,142520.16,29405.16,0.0,52153.82,54815.25,0.0,207639.97999999998,176550.52,0.0,397376.08,748871.0800000001,0.0,66891601.569000006,7.264109112432253,9208507.2696,9484762.487688001,7.264109112432253,0.0,0.0,0.0,0.0,312136.17073170736,0.0,0.0,-100.0
Friesian Farms Dairy,5593 Avenue 176 TuIare TuIare 93274,2608.0,292.0,773.0,1054.0,0.0,0.0,,90679.36,0.0,0.0,0.0,186659.99,504596.43,0.0,0.0,47946.46,13035.88,56195.18,0.0,202488.0,75204.0,252000.0,0.0,47946.46,47946.46,13035.88,56195.18,441314.58,0.0,0.0,0.0,0.0,2023AR_Friesian Farms Dairy_5593 Avenue 176_W Tulare.pdf,0.0,0.0,0.0,4727.0,250434.46,47946.46,0.0,88239.88,199695.87,0.0,308195.18,560791.61,0.0,441314.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083442.051219512,0.0,0.0,-100.0
Scheenstra Dairy,16800 Rd 96 Tipton TuIare 93272,3800.0,650.0,500.0,0.0,0.0,0.0,,112624.55,0.0,0.0,1440519.38,0.0,727735.06,0.0,0.0,0.0,0.0,272225.8,0.0,172192.8,49707.6,128047.8,0.0,92378.26,92378.26,17084.47,115531.73,446047.79,0.0,0.0,0.0,0.0,2023AR_Scheenstra Dairy_16800 Road 96 Road_W Tulare.pdf,0.0,0.0,0.0,4950.0,264571.06,0.0,0.0,66792.07,0.0,0.0,243579.53,999960.8600000001,0.0,446047.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1406649.243902439,0.0,0.0,-100.0
Dixie Creek South,24116 28 RD Tulare Tulare 93274,1.0,0.0,1950.0,2315.0,1165.0,0.0,,42926.19,75.0,325236.14,464623.05,72763.82,194.79,470.85,76558021.0,141820.59,29953.38,344563.85,1662358.19,0.0,0.0,0.0,0.0,141820.59,141820.59,29953.38,344563.85,1662358.19,1.19,1.0,2.61,2.35,2023AR_Dixie Creek South Dairy_24116 Road 28_W Tulare.pdf,34.0194,35.039981999999995,12789.593429999999,5431.0,141820.59,467056.73,0.0,29953.38,102717.20000000001,0.0,344563.85,344758.63999999996,0.0,1662358.19,1662829.04,0.0,289803498.27361,22659.320631243085,12789.593429999999,13173.281232899999,22659.320631243085,0.0,0.0,0.0,0.0,517198.1565853659,0.0,0.0,-37.11575807863145
Adriano Nunes & Son Dairy-Farming,18675 32 RD Tulare Tulare 93274,790.0,144.0,295.0,300.0,140.0,109.0,,28885.28,65.0,0.0,354358.56,57664.44,148697.14,405084.3,3874500.0,13440.94,1461.91,0.0,89601.02,82225.3,29836.67,74837.51,47982.9,13440.94,13440.94,1461.91,7616.32,89601.02,0.8,1.09,0.68,0.28,2023AR_Adriano Nunes & Son Dairy Farming_18675 Road 32_W Tulare.pdf,29.48348,30.3679844,10352749.561804,1778.0,95666.24,13440.94,0.0,31298.579999999998,59126.350000000006,0.0,82453.82999999999,148697.14,0.0,137583.92,494685.32,0.0,14666571.045,1.4166836507966587,10352749.561804,10663332.048658121,1.4166836507966587,0.0,0.0,0.0,0.0,358893.65073170734,0.0,0.0,-100.0
Oakview Dairy,6775 232 AVE Tulare Tulare 93274,1347.0,64.0,193.0,0.0,0.0,0.0,,38300.43,75.0,0.0,492087.28,83021.33,0.0,648951.75,44832925.0,168165.96,29186.28,278411.85,1697643.91,0.0,0.0,0.0,0.0,168165.96,168165.96,29186.28,278411.85,1697643.91,0.91,0.79,1.6,2.28,2023AR_Oakview Dairy_6775 Avenue 232_W Tulare.pdf,34.0194,35.039981999999995,18046116.329729997,1604.0,168165.96,168165.96,0.0,29186.28,112207.61,0.0,278411.85,278411.85,0.0,1697643.91,2346595.66,0.0,169711002.62425,9.404295058469746,18046116.329729997,18587499.8196219,9.404295058469746,0.0,0.0,0.0,0.0,449846.3541463415,0.0,0.0,-100.0
Rio Blanco Dairy,5041 Ave. 192 Tulare Tulare 93274,1950.0,360.0,350.0,370.0,440.0,395.0,,66549.53,75.0,591954.08,845648.68,136720.56,379848.74,1000939.5,20593783.0,127748.39,22916.13,129376.8,619509.43,91992.0,30123.2,115533.6,0.0,127748.39,127748.39,22916.13,129376.8,619509.43,1.25,1.26,0.83,1.07,2023AR_Rio Blanco Dairy_5041 Avenue 192_W Tulare.pdf,34.0194,35.039981999999995,29543960.823299997,3865.0,219740.39,719702.47,0.0,53039.33,159636.69,0.0,244910.40000000002,509225.54,0.0,619509.43,1620448.9300000002,0.0,77955912.10603,2.6386411954807927,29543960.823299997,30430279.647998996,2.6386411954807927,0.0,0.0,0.0,0.0,812257.5536585366,0.0,0.0,-27.12236687319865
