dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_excreted_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,total_manure_gen_tons,total_manure_gen_s_lbs,city,region,sub_region,year,county,state,zip,latitude,longitude,consultant,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID
Moming Star Dairy Inc,10262 W EIkhorn AVE Burrel Fresno 93607,1171.0,150.0,500.0,373.0,325.0,250.0,,,43591.87,0.0,0.0,537725.85,87189.66,226565.35,0.0,0.0,25583.69,0.0,1525.21,0.0,74631.68,25834.24,81922.56,2210494.4,25583.69,25583.69,0.0,1525.21,352061.76,0.0,0.0,0.0,0.0,,,,,2023AR_Morning Star Dairy_10032 W Elkhorn Ave_Fresno.pdf,0.0,0.0,0.0,,100215.37,25834.24,83447.77,2562556.16,25583.69,87189.66,228090.56,0.0,,,,,0.0,0.0,,,,,,,,-100.0,,519345.76486854,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
PhiIip Verwey Dairy Inc.,12852 Road 9 Madera Madera 93637,2600.0,157.0,1200.0,800.0,400.0,0.0,,,91238.87,0.0,0.0,1118859.95,186437.05,501340.39,0.0,0.0,170645.97,13176.28,265080.99,0.0,151407.7,50427.0,251501.49,2128576.8,170645.97,170645.97,13176.28,265080.99,1374449.54,0.0,0.0,0.0,0.0,,,,,"2023AR_Philip Verwey Dairy, Inc._12852 Rd 9_Madera.pdf",0.0,0.0,0.0,,322053.67000000004,63603.28,516582.48,3503026.34,170645.97,199613.33,766421.38,0.0,,,,,0.0,0.0,,,,,,,,-100.0,,1074052.228008,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Fagundes Dairy (TF Farms),23732 Road 12 ChowchiIla Madera 93610,2014.0,88.0,0.0,575.0,321.0,969.0,,,60563.75,0.0,0.0,781098.0,124683.99,372467.6,0.0,0.0,0.0,19618.03,0.0,0.0,401080.1,73256.64,829631.45,0.0,110291.77,110291.77,19618.03,170745.33,832442.12,0.0,0.0,0.0,0.0,,,,,2023AR_Fagundes Dairy_23548 Road 12_Madera.pdf,0.0,0.0,0.0,,511371.87,92874.67,1000376.7799999999,832442.12,0.0,144302.02000000002,372467.6,0.0,,,,,0.0,0.0,,,,,,,,-100.0,,749845.1038808,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
RIVAS DAIRY,41198 W VaIeria AVE Dos PaIos Fresno 93620,200.0,18.0,25.0,20.0,18.0,18.0,,,5924.87,0.0,0.0,0.0,12529.11,38039.05,0.0,0.0,9295.8,1883.31,13661.9,0.0,0.0,0.0,0.0,0.0,9295.8,9295.8,1883.31,13661.9,79230.77,0.0,0.0,0.0,0.0,,,,,2023AR_Rivas Dairy_41198 W Valeria Ave_Fresno.pdf,0.0,0.0,0.0,,9295.8,1883.31,13661.9,79230.77,9295.8,14412.42,51700.950000000004,0.0,,,,,0.0,0.0,,,,,,,,-100.0,,72520.75007092,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bar None Dairy / van der Hoek Dairy,15886 S Lassen AVE HeIm Fresno 93627,3600.0,250.0,1890.0,675.0,525.0,0.0,,,119543.96,0.0,0.0,1473522.85,0.0,668146.42,0.0,0.0,99355.71,20095.96,126661.02,0.0,213577.11,73174.18,468869.81,0.0,99355.71,99355.71,20095.96,126661.02,778322.5,0.0,0.0,0.0,0.0,,,,,2023AR_Bar None Van Der Hoek Dairy_15886 S Lassen Ave_Fresno.pdf,0.0,0.0,0.0,,312932.82,93270.13999999998,595530.83,778322.5,99355.71,20095.96,794807.4400000001,0.0,,,,,0.0,0.0,,,,,,,,-100.0,,1473297.7675217,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
J&F Martins Dairy 42,541 East Wood AVE Laton Kings 93242,435.0,35.0,270.0,180.0,0.0,0.0,,,16482.86,0.0,0.0,198320.29,33382.17,84735.49,0.0,0.0,67825.59,9282.93,66265.82,0.0,25086.61,7942.05,22413.51,350475.98,67825.59,67825.59,9282.93,66265.82,357139.16,0.0,0.0,0.0,0.0,,,,,2023AR_J & F Martins Dairy #2_541 E Woods Ave_Fresno.pdf,0.0,0.0,0.0,,92912.2,17224.98,88679.33,707615.1399999999,67825.59,42665.1,151001.31,0.0,,,,,0.0,0.0,,,,,,,,-100.0,,192687.66616599998,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Frank S. Brown Co.,22045 S Valentine AVE Riverdale Fresno 93656,1415.0,269.0,479.0,424.0,133.0,0.0,,,50807.21,75.0,438901.86,627002.65,103799.8,275633.83,728109.3,34242000.0,190701.5,19043.61,195684.01,1422086.8,70374.49,13798.92,51400.98,0.0,190701.5,190701.5,19043.61,195684.01,1422086.8,0.69,0.63,0.76,1.19,,,,,2023AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno.pdf,34.0194,35.039981999999995,21537675.33612,,261075.99,32842.53,247084.99000000002,1422086.8,629603.36,122843.41,471317.84,2150196.1,,,,,129620009.22,8615070.134448,6.018291537834602,6.018291537834602,0.0,,,,,-28.810534250507853,,616526.4135349,21537675.33612,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Slenders Dairy,625 E Coleman AVE Laton Fresno 93242,1012.0,110.0,450.0,350.0,150.0,0.0,,,35675.27,66.0,0.0,436853.17,0.0,191147.8,501794.7,30835000.0,90474.48,12953.52,64769.56,455182.0,0.0,0.0,0.0,0.0,38818.18,38818.18,6154.97,32132.47,214588.75,1.23,0.89,0.67,1.14,,,,,2023AR_AJ Slenders Dairy_625 E Coleman Ave_Fresno.pdf,29.937072,30.83518416,12627932.9690448,,38818.18,6154.97,32132.47,214588.75,90474.48,12953.52,255917.36,956976.7,,,,,116723117.35000001,5051173.18761792,9.243248094215149,9.243248094215149,0.0,,,,,-100.0,,435080.127577,12627932.9690448,,,,,,,,,,,,,,,,,,,,,,,,,
Joe R Garcia Dairy AKA Netto Enterprise,20677 S East AVE Laton Fresno 93242,1030.0,100.0,0.0,0.0,0.0,0.0,,,27700.25,69.0,253477.71,362111.01,60599.56,196577.79,507970.5,27735000.0,66809.1,15787.8,77615.25,565498.79,151860.0,79500.0,304500.0,7127389.2,118465.4,118465.4,22590.77,110251.29,915054.37,0.99,2.11,1.33,7.08,,,,,2023AR_Joe R. Garcia Dairy_20677 E St_Fresno.pdf,31.297848,32.236783439999996,13296061.329828,,270325.4,102090.77,414751.29,8042443.57,320286.81,76387.36,274193.04000000004,1073469.29,,,,,104988346.35000001,5318424.5319312,7.896199013046983,7.896199013046983,0.0,,,,,-26.119307844633454,,343090.6,13296061.329828,,,,,,,,,,,,,,,,,,,,,,,,,
Joao Cardoso Dairy Inc.,24699 Avenue 11 Madera Madera 93637,280.0,35.0,30.0,10.0,10.0,0.0,,,7952.92,65.0,71716.88,102452.68,17024.48,52702.78,139886.25,1980000.0,5601.33,647.71,8707.67,40481.6,0.0,0.0,0.0,0.0,5601.33,5601.33,647.71,8707.67,40481.6,1.27,0.72,0.93,1.2,,,,,2023AR_Joao Cardodo Dairy Inc._24699 Ave 11_Madera.pdf,29.48348,30.3679844,3491559.00639,,5601.33,647.71,8707.67,40481.6,77318.21,17672.19,61410.45,180367.85,,,,,7495111.800000001,1396623.6025560002,2.1466375869011483,2.1466375869011483,0.0,,,,,-28.60709478227193,,100453.7912854,3491559.00639,,,,,,,,,,,,,,,,,,,,,,,,,
