Latitude,Longitude,Operator/Agency,Facility Name,Facility Address,County,Reg Measure,WDID,Place ID,Amount,Units [Tons] [Cu Yd],Hauled To,Amount,Units [Tons] [Cu Yd],Dates,Dates
34.019781,-118.067195,Gerben Hettinga,GH Dairy #7,8931 Chino Avenue,San Bernardino,399897,10 366024001,263066,"7,883.00",Ton,Composting Facility,"1,020.00",Ton,10/3/23,10/23/23
34.019781,-118.067195,Gerben Hettinga,GH Dairy #8,8932 Chino Avenue,San Bernardino,399898,11 366024001,263066,"7,883.00",Ton,Composting Facility,"1,780.00",Ton,11/1/23,11/15/23
34.01978,-118.067195,Gerben Hettinga,GH Dairy #9,8933 Chino Avenue,San Bernardino,399899,12 366024001,263066,"7,883.00",Ton,Composting Facility,880,Ton,12/11/23,12/13/23
33.9759,-117.66198,Gerben Hettinga,GH Dairy #6,7938 Schaefer Avenue,San Bernardino,412019,8 366032001,248158,"1,152.00",Ton,San Bernardino County,616,Ton,5/17/23,5/19/23
34.00206,-117.0461,Gerben Hettinga,GH Dairy #7,7939 Schaefer Avenue,San Bernardino,412020,9 366032001,248158,"1,152.00",Ton,San Bernardino County,536,Ton,9/19/23,12/14/23
34.003915,-117.616015,Gerben Hettinga,GH Dairy #7,10573 Edison Avenue,San Bernardino,451918,8 366048001,755742,"7,358.00",Ton,Composting Facility,294,Ton,1/23/23,1/26/23
33.99922,-117.56955,Gerben Hettinga,GH Dairy #8,10574 Edison Avenue,San Bernardino,451919,9 366048001,755742,"7,358.00",Ton,San Bernardino County,"1,408.00",Ton,4/15/23,5/11/23
33.994881,-117.5695,Gerben Hettinga,GH Dairy #9,10575 Edison Avenue,San Bernardino,451920,10 366048001,755742,"7,358.00",Ton,San Bernardino County,"2,056.00",Ton,9/2/23,9/10/23
33.98063,-117.66023,Gerben Hettinga,GH Dairy #10,10576 Edison Avenue,San Bernardino,451921,11 366048001,755742,"7,358.00",Ton,San Bernardino County,"3,376.00",Ton,11/12/23,12/1/23
33.939915,-117.616455,Craig Gordon,Gordon Dairy #3,14213 Bon View Avenue,San Bernardino,388890,8 366001001,229393,"1,370.00",Ton,Composting Facility,225,Ton,2/22/23,11/8/23
34.019781,-118.067195,Craig Gordon,Gordon Dairy #4,14214 Bon View Avenue,San Bernardino,388891,9 366001001,229393,"1,370.00",Ton,Composting Facility,75,Ton,2/22/23,11/8/23
34.003915,-117.616015,Craig Gordon,Gordon Dairy #5,14215 Bon View Avenue,San Bernardino,388892,10 366001001,229393,"1,370.00",Ton,Composting Facility,"1,070.00",Ton,2/22/23,11/8/23
33.984772,-117.658752,Craig Gordon,Gordon Dairy #4,14451 South Bon View Avenue,San Bernardino,390356,8 366004001,241364,"2,200.00",Ton,San Bernardino County,"2,200.00",Ton,11/21/23,11/29/23
34.019781,-118.067195,Craig Gordon,Gordon Dairy #5,14400 South Grove Avenue,San Bernardino,390358,8 366005001,233766,"1,395.00",Ton,Composting Facility,"1,395.00",Ton,2/20/23,7/28/23
34.400852,-118.798265,Craig Gordon,Gordon Dairy #6,14452 South Bon View Avenue,San Bernardino,390360,9 366004001,226168,590,Ton,*Ventura County - Citus Orchards (Assumed Lat. & Long),"1,265.00",Ton,1/1/23,12/1/23
33.984212,-117.66888,Craig Gordon (Sold to County?),Gordon Dairy #9,13752 Bon View Avenue,San Bernardino,442661,8 366042001,229610,"2,466.00",Ton,San Bernardino County,790,Ton,3/31/22,4/20/22
33.984242,-117.66888,Craig Gordon (Sold to County?),Gordon Dairy #10,13753 Bon View Avenue,San Bernardino,442662,9 366042001,229610,"2,466.00",Ton,San Bernardino County,256,Ton,7/10/22,7/12/22
33.992206,-1117.604984,Craig Gordon (Sold to County?),Gordon Dairy #11,13754 Bon View Avenue,San Bernardino,442663,10 366042001,229610,"2,466.00",Ton,San Bernardino County,"1,420.00",Ton,9/9/22,9/13/22
34.004586,-117.615394,Edward Haringa,El Dorado Dairy #1 (Green Acres Dairy) ,7322 & 7439 Chino Avenue,San Bernardino,211695,8 365559001,227860,"2,823.00",Ton,Composting Facility,"2,823.00",Ton,8/1/23,12/31/23
34.004586,-117.615394,Edward Haringa,Green Acres Heifer Ranch,7520 Schaefer Avenue,San Bernardino,332824,8 365953001,270163,"1,050.00",Ton,Composting Facility,"1,050.00",Ton,9/25/23,9/29/23
34.004586,-117.615394,Rudolph Haringa,Haringa Farms Heifer Ranch,13450 Bon View Avenue,San Bernardino,334481,8 365955001,270294,"4,950.00",sq yard,Composting Facility,"5,000.00",Cubic Yards,8/1/23,9/30/23
33.823757,-117.013837,Hein Hettinga,Hettinga Dairy - San Jacinto,1861 North Warren Road,Riverside,209395,8 335470001,230193,"13,608.00",Ton,*Riverside County (Assumed Lat. & Long),"10,094.00",Ton,6/16/23,7/6/23
33.823757,-117.013837,Hein Hettinga,Hettinga Dairy - San Jacinto,1862 North Warren Road,Riverside,209396,9 335470001,230193,"13,608.00",Ton,*Riverside County (Assumed Lat. & Long),"3,514.00",Ton,12/4/23,12/22/23
33.83364,-117.16835,Hein Hettinga,Hettinga Ranch - Lake Mathews,15250 El Sobrante Road,Riverside,209391,8 335464001,230195,"3,200.00",Ton,Riverside County,"3,200.00",Ton,11/13/23,11/22/23
32.97474,-115.32379,Arie De Jong,Hollandia Farms North,35600 Ramona Expressway,Riverside,367324,8 335691001,630505,"10,985.00",Ton,*Imperial County (Assumed Lat. & Long from 2019 Annual Report),"10,985.00",Ton,1/1/23,12/31/23
33.87416667,-117.0727778,Jim Bootsma,Jim Bootsma Jr. Dairy,33100 Fernandez Road,Riverside,209424,8 335555001,233675,"23,550.00",Ton,Riverside County,"23,550.00",Ton,7/11/23,9/17/23
33.996,-117.6434,LaBrucherie Bros LLC,LaBrucherie Bros LLC - Schaefer,8484 Schaefer Avenue,San Bernardino,399527,8 366020001,630584,467.5,Ton,Composting Facility,467.5,Ton,4/15/23,12/1/23
34.001647,-117.365583,Legend Dairy Farms,Legend Dairy Farm,13456 Walker Avenue,San Bernardino,440565,8 366040001,219286,"9,396.00",Ton,Composting Facility,747,Ton,6/26/23,7/4/23
33.592594,-117.405134,Legend Dairy Farms,Legend Dairy Farm,13457 Walker Avenue,San Bernardino,440566,9 366040001,219286,"9,396.00",Ton,San Bernardino County,"2,124.00",Ton,5/15/23,5/20/23
34.001647,-117.365583,Legend Dairy Farms,Legend Dairy Farm,13458 Walker Avenue,San Bernardino,440567,10 366040001,219286,"9,396.00",Ton,Composting Facility,"2,916.00",Ton,5/23/23,6/6/23
34.001647,-117.365583,Legend Dairy Farms,Legend Dairy Farm,13459 Walker Avenue,San Bernardino,440568,11 366040001,219286,"9,396.00",Ton,Composting Facility,"3,609.00",Ton,11/2/23,11/15/23
34.001677,-117.365822,Ronald Pietersma,Legend Dairy Farms,9155 Riverside Drive,San Bernardino,447460,8 366041001,219285,"7,711.00",Ton,Composting Facility,540,Ton,5/25/23,5/30/23
33.585566,-117.404752,Ronald Pietersma,Legend Dairy Farms,9155 Riverside Drive,San Bernardino,447460,8 366041001,219285,"7,711.00",Ton,San Bernardino County,792,Ton,5/19/23,5/22/23
34.001647,-117.36553,Ronald Pietersma,Legend Dairy Farms,13331 South Walker Avenue,San Bernardino,442023,8 366044001,630583,"1,332.00",Ton,Composting Facility,"1,802.00",Ton,6/1/23,6/30/23
