region,template,parameter_key,page_search_text,search_direction,row_search_text,column_search_text,item_order,ignore_before,ignore_after,value_pattern
5,provost_pritchard,total_dry_manure_gen_k_lbs,Attachment A,right,Total Potassium,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,total_dry_manure_gen_salt_lbs,Attachment A,right,Total Salts,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,total_process_wastewater_gen_gals,Attachment A,right,Total Process Wastewater Generated,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,total_process_wastewater_gen_n_lbs,Attachment A,right,Total Nitrogen in Process Wastewater,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,total_process_wastewater_gen_p_lbs,Attachment A,right,Total Phosphorus in Process Wastewater,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,total_process_wastewater_gen_k_lbs,Attachment A,right,Total Potassium in Process Wastewater,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,total_process_wastewater_gen_salt_lbs,Attachment A,right,Total Salts in Process Wastewater,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,total_exports_n_lbs,Attachment A,right,Total Nitrogen Exported,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,total_exports_p_lbs,Attachment A,right,Total Phosphorus Exported,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,total_exports_k_lbs,Attachment A,right,Total Potassium Exported,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,total_exports_salt_lbs,Attachment A,right,Total Salts Exported,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,applied_n_dry_manure_lbs,Attachment A,right,Total Nitrogen Applied,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,applied_p_dry_manure_lbs,Attachment A,right,Total Phosphorus Applied,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,applied_k_dry_manure_lbs,Attachment A,right,Total Potassium Applied,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,applied_salt_dry_manure_lbs,Attachment A,right,Total Salts Applied,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,applied_process_wastewater_n_lbs,Attachment A,right,Total Nitrogen in Process Wastewater Applied,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,applied_process_wastewater_p_lbs,Attachment A,right,Total Phosphorus in Process Wastewater Applied,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,applied_process_wastewater_k_lbs,Attachment A,right,Total Potassium in Process Wastewater Applied,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,applied_process_wastewater_salt_lbs,Attachment A,right,Total Salts in Process Wastewater Applied,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,applied_to_removed_ratio_n,Attachment C,right,Total Nitrogen Ratio,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,applied_to_removed_ratio_p,Attachment C,right,Total Phosphorus Ratio,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,applied_to_removed_ratio_k,Attachment C,right,Total Potassium Ratio,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,applied_to_removed_ratio_salt,Attachment C,right,Total Salts Ratio,NA,NA,NA,NA,\d+\.?\d*
