zip,lat,lng,city,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all
93527,35.80294,-117.98504,Inyokern,1801,2,6107,Tulare,"{""06107"": 50.78, ""06029"": 34.7, ""06027"": 14.52}",Tulare|Kern|Inyo,06107|06029|06027
93528,35.37194,-117.64193,Johannesburg,77,12.1,6029,Kern,"{""06029"": 100}",Kern,6029
93529,37.7832,-119.1375,June Lake,209,1.1,6051,Mono,"{""06051"": 100}",Mono,6051
93530,36.48458,-117.87201,Keeler,21,7,6027,Inyo,"{""06027"": 100}",Inyo,6027
93531,35.22937,-118.60781,Keene,497,9.8,6029,Kern,"{""06029"": 100}",Kern,6029
93532,34.68571,-118.55914,Lake Hughes,2762,8.7,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
93534,34.71759,-118.15079,Lancaster,42290,861.3,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
93535,34.69908,-117.89613,Lancaster,80478,130,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
93536,34.75267,-118.3889,Lancaster,72013,109.3,6037,Los Angeles,"{""06037"": 94.84, ""06029"": 5.16}",Los Angeles|Kern,06037|06029
93541,37.99678,-119.01847,Lee Vining,889,1.1,6051,Mono,"{""06051"": 100}",Mono,6051
93543,34.47916,-117.97357,Littlerock,12217,69.7,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
93544,34.49063,-117.75505,Llano,1201,4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
93545,36.6046,-118.02721,Lone Pine,1394,1.4,6027,Inyo,"{""06027"": 100}",Inyo,6027
93546,37.60573,-118.85219,Mammoth Lakes,8803,14.4,6051,Mono,"{""06051"": 100}",Mono,6051
93549,36.27728,-117.96016,Olancha,244,0.2,6027,Inyo,"{""06027"": 100}",Inyo,6027
93550,34.38305,-118.04926,Palmdale,79929,119,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
93551,34.59404,-118.22634,Palmdale,54956,250.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
93552,34.58412,-118.02386,Palmdale,43903,441,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
93553,34.44515,-117.89611,Pearblossom,1349,9.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
93554,35.36914,-117.75876,Randsburg,102,0.3,6029,Kern,"{""06029"": 100}",Kern,6029
93555,35.58596,-117.68446,Ridgecrest,33629,166.3,6029,Kern,"{""06029"": 92.03, ""06071"": 7.97}",Kern|San Bernardino,06029|06071
93558,35.33945,-117.58517,Red Mountain,0,0,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
93560,34.87116,-118.32594,Rosamond,21537,49.5,6029,Kern,"{""06029"": 95.18, ""06037"": 4.82}",Kern|Los Angeles,06029|06037
93561,35.10904,-118.52016,Tehachapi,31179,39.9,6029,Kern,"{""06029"": 100}",Kern,6029
93562,35.70667,-117.34263,Trona,1822,7.9,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
93563,34.38662,-117.83646,Valyermo,218,2.2,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
93581,35.11288,-118.57035,Tehachapi,3447,512.6,6029,Kern,"{""06029"": 100}",Kern,6029
93591,34.59656,-117.80955,Palmdale,7531,39.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
